Dataset,GWAS Type,Error Type,Error Rate,Approach,Epsilon,Retention Ratio
lactose,chi2,flipping,0.8,ldp,3,0.17766955266955275
lactose,chi2,flipping,0.8,ldp,3,0.166432178932179
lactose,chi2,flipping,0.8,ldp,1,0.1750450937950938
lactose,chi2,flipping,0.8,ldp,1,0.2080176767676768
lactose,chi2,flipping,0.8,ldp,2,0.18461399711399717
lactose,chi2,flipping,0.8,ldp,2,0.113474025974026
lactose,chi2,flipping,0.8,ldp,2,0.17247474747474756
lactose,chi2,flipping,0.9,ldp,1,0.2555417586460633
lactose,chi2,flipping,0.9,ldp,3,0.2542770419426049
lactose,chi2,flipping,0.9,ldp,1,0.1586644591611479
lactose,chi2,flipping,0.9,ldp,2,0.23627207505518766
lactose,chi2,flipping,0.9,ldp,2,0.22461368653421632
lactose,chi2,flipping,0.9,ldp,2,0.23063833701250913
lactose,chi2,flipping,0.9,ldp,1,0.20695364238410596
lactose,chi2,flipping,0.9,ldp,2,0.1886497424576895
lactose,chi2,flipping,0.9,ldp,2,0.24510209713024284
lactose,chi2,flipping,0.9,ldp,1,0.26437178072111844
lactose,chi2,flipping,0.9,ldp,1,0.2170483811626196
lactose,chi2,flipping,0.9,ldp,3,0.23029341427520233
lactose,chi2,flipping,0.9,ldp,2,0.17729028697571736
lactose,chi2,flipping,0.9,ldp,1,0.21072479764532748
lactose,chi2,flipping,0.9,ldp,1,0.17066777041942605
lactose,chi2,flipping,0.9,ldp,2,0.19465139808682852
lactose,chi2,flipping,0.9,ldp,1,0.24259565857247978
lactose,chi2,flipping,0.9,ldp,3,0.21072479764532748
lactose,chi2,flipping,0.9,ldp,3,0.23532928623988225
lactose,chi2,flipping,0.9,ldp,1,0.29872608535688006
lactose,chi2,flipping,0.9,ldp,1,0.19589311994113312
lactose,chi2,flipping,0.9,ldp,2,0.20442420897718916
lactose,chi2,flipping,0.9,ldp,2,0.22838484179543783
lactose,chi2,flipping,0.9,ldp,2,0.14666114790286977
lactose,chi2,flipping,1.0,ldp,1,0.2982185990338164
lactose,chi2,flipping,1.0,ldp,3,0.30996376811594206
lactose,chi2,flipping,1.0,ldp,1,0.21050724637681162
lactose,chi2,flipping,1.0,ldp,2,0.2939311594202899
lactose,chi2,flipping,1.0,ldp,2,0.31515700483091785
lactose,chi2,flipping,1.0,ldp,2,0.27391304347826084
lactose,chi2,flipping,1.0,ldp,2,0.2656702898550725
lactose,chi2,flipping,1.0,ldp,1,0.2608695652173913
lactose,chi2,flipping,1.0,ldp,1,0.2808272946859904
lactose,chi2,flipping,1.0,ldp,2,0.27524154589371985
lactose,chi2,flipping,1.0,ldp,2,0.2596014492753623
lactose,chi2,flipping,1.0,ldp,1,0.26651570048309176
lactose,chi2,flipping,1.0,ldp,3,0.2708635265700483
lactose,chi2,flipping,1.0,ldp,1,0.26871980676328505
lactose,chi2,flipping,1.0,ldp,1,0.23568840579710143
lactose,chi2,flipping,1.0,ldp,1,0.26564009661835747
lactose,chi2,flipping,1.0,ldp,2,0.2639190821256039
lactose,chi2,flipping,1.0,ldp,3,0.251328502415459
lactose,chi2,flipping,1.0,ldp,3,0.2734903381642512
lactose,chi2,flipping,1.0,ldp,1,0.259993961352657
lactose,chi2,flipping,1.0,ldp,1,0.2648248792270531
lactose,chi2,flipping,1.0,ldp,2,0.271316425120773
lactose,chi2,flipping,1.0,ldp,2,0.2048913043478261
lactose,chi2,flipping,1.0,ldp,2,0.2774154589371981
lactose,chi2,flipping,0.0,ldp,3,0.7361111111111112
lactose,chi2,flipping,0.0,ldp,3,0.7361111111111112
lactose,chi2,flipping,0.0,ldp,3,0.7326388888888888
lactose,chi2,flipping,0.0,ldp,3,0.7222222222222222
lactose,chi2,flipping,0.0,ldp,3,0.7361111111111112
lactose,chi2,flipping,0.0,ldp,3,0.7152777777777778
lactose,chi2,flipping,0.0,ldp,4,0.7604166666666666
lactose,chi2,flipping,0.0,ldp,4,0.7118055555555556
lactose,chi2,flipping,0.0,ldp,4,0.75
lactose,chi2,flipping,0.0,ldp,4,0.7256944444444444
lactose,chi2,flipping,0.0,ldp,4,0.78125
lactose,chi2,flipping,0.0,ldp,4,0.75
lactose,chi2,flipping,0.0,ldp,4,0.7465277777777778
lactose,chi2,flipping,0.0,ldp,4,0.7743055555555556
lactose,chi2,flipping,0.0,ldp,4,0.7291666666666666
lactose,chi2,flipping,0.0,ldp,4,0.7291666666666666
lactose,chi2,flipping,0.0,ldp,5,0.7361111111111112
lactose,chi2,flipping,0.0,ldp,5,0.7326388888888888
lactose,chi2,flipping,0.0,ldp,5,0.7222222222222222
lactose,chi2,flipping,0.0,ldp,5,0.7604166666666666
lactose,chi2,flipping,0.0,ldp,5,0.7569444444444444
lactose,chi2,flipping,0.0,ldp,5,0.7847222222222222
lactose,chi2,flipping,0.0,ldp,5,0.7569444444444444
lactose,chi2,flipping,0.0,ldp,5,0.7534722222222222
lactose,chi2,flipping,0.1,ldp,3,0.0300408235711751
lactose,chi2,flipping,0.1,ldp,3,0.03962548810791622
lactose,chi2,flipping,0.1,ldp,3,0.03934815406460768
lactose,chi2,flipping,0.1,ldp,3,0.05768548100816473
lactose,chi2,flipping,0.1,ldp,3,0.052405040823571225
lactose,chi2,flipping,0.1,ldp,3,0.025181931132410407
lactose,chi2,flipping,0.1,ldp,4,0.04795660276890301
lactose,chi2,flipping,0.1,ldp,4,0.024904597089101865
lactose,chi2,flipping,0.1,ldp,4,0.04392971246006394
lactose,chi2,flipping,0.1,ldp,4,0.035598597799077036
lactose,chi2,flipping,0.1,ldp,4,0.04392971246006394
