Dataset,GWAS Type,Error Type,Error Rate,Approach,Epsilon,Retention Ratio
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.12618937998772256
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.1310811847759361
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.20756599140577037
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.13439993861264576
lactose,chi2,flipping,0.4,proposed_dp_maf,0.1,0.132347298956415
lactose,chi2,flipping,0.4,proposed_dp_maf,0.5,0.1860228667894413
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.2351461038961039
lactose,chi2,flipping,0.5,proposed_dp_maf,1.0,0.26809163059163066
lactose,chi2,flipping,0.5,proposed_dp_maf,1.0,0.24982864357864365
lactose,chi2,flipping,0.5,proposed_dp_maf,1.0,0.2715097402597403
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.2560064935064935
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.12274531024531027
lactose,chi2,flipping,0.5,proposed_dp_maf,1.0,0.30625901875901873
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.10625901875901872
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.25690836940836936
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.11755050505050507
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.10196608946608948
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.22910353535353534
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.2507846320346321
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.2698412698412699
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.10366161616161612
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.10360750360750365
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.10978535353535351
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.2637987012987013
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.24384018759018755
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.24903499278499275
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.12794011544011546
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.12531565656565663
lactose,chi2,flipping,0.5,proposed_dp_maf,0.1,0.12184343434343431
lactose,chi2,flipping,0.5,proposed_dp_maf,0.5,0.27334054834054833
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.2534722222222222
lactose,chi2,flipping,0.6,proposed_dp_maf,1.0,0.2684178743961353
lactose,chi2,flipping,0.6,proposed_dp_maf,1.0,0.22267512077294693
lactose,chi2,flipping,0.6,proposed_dp_maf,1.0,0.26554951690821255
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.28955314009661837
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.10718599033816428
lactose,chi2,flipping,0.6,proposed_dp_maf,1.0,0.2672101449275362
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.11503623188405793
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.2817028985507246
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.12167874396135264
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.1265096618357488
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.23626207729468596
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.24048913043478265
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.26811594202898553
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.11020531400966177
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.24803743961352653
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.10386473429951693
